date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:46:30	3101861/3101861	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202026%2023:46:29%20GMT	https://netology.ru/navigation	C:/Users/USER/Desktop/learnhouse/netology-catalog/netology.ru/navigation.html	(from )
02:46:30	40/40	---M--	200	added ('OK')	application/json	etag:%2216040e6b1f5ecd647b4690310712a4f1%22	https://api.mindbox.ru/assets/manifest.json	C:/Users/USER/Desktop/learnhouse/netology-catalog/api.mindbox.ru/assets/manifest.json	(from https://netology.ru/navigation)
02:46:31	323155/323155	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a669c4a-4ee53%22	https://cdn.sales-ninja.me/userBundle.js	C:/Users/USER/Desktop/learnhouse/netology-catalog/cdn.sales-ninja.me/userBundle.js	(from https://netology.ru/navigation)
02:46:32	2219/2219	---MCZ	200	added ('OK')	text/css	etag:W/%22aec538741af2f7a5a68e8c365fee13f3%22	https://cdn-app.sberdevices.ru/shared-static/0.0.0/styles/SBSansDisplay.0.2.0.css	C:/Users/USER/Desktop/learnhouse/netology-catalog/cdn-app.sberdevices.ru/shared-static/0.0.0/styles/SBSansDisplay.0.2.0.css	(from https://netology.ru/navigation)
02:46:33	3578/3578	---MCZ	200	added ('OK')	text/css	etag:W/%229aae9f8b7110f434d754261e7e55b992%22	https://cdn-app.sberdevices.ru/shared-static/0.0.0/styles/SBSansText.0.2.0.css	C:/Users/USER/Desktop/learnhouse/netology-catalog/cdn-app.sberdevices.ru/shared-static/0.0.0/styles/SBSansText.0.2.0.css	(from https://netology.ru/navigation)
02:46:33	47180/47180	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Aug%202026%2007:56:08%20GMT	https://netology.ru/images/netology_share.png	C:/Users/USER/Desktop/learnhouse/netology-catalog/netology.ru/images/netology_share.png	(from https://netology.ru/navigation)
02:46:34	2078/2078	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Aug%202026%2009:55:12%20GMT	https://netology.ru/apple-touch-icon.png	C:/Users/USER/Desktop/learnhouse/netology-catalog/netology.ru/apple-touch-icon.png	(from https://netology.ru/navigation)
02:46:34	645/645	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Aug%202026%2007:56:08%20GMT	https://netology.ru/favicon-32x32.png	C:/Users/USER/Desktop/learnhouse/netology-catalog/netology.ru/favicon-32x32.png	(from https://netology.ru/navigation)
02:46:35	366/366	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Aug%202026%2007:56:08%20GMT	https://netology.ru/favicon-16x16.png	C:/Users/USER/Desktop/learnhouse/netology-catalog/netology.ru/favicon-16x16.png	(from https://netology.ru/navigation)
02:46:36	426/426	---M--	200	added ('OK')	application/manifest+json	date:Fri,%2007%20Aug%202026%2009:55:12%20GMT	https://netology.ru/site.webmanifest	C:/Users/USER/Desktop/learnhouse/netology-catalog/netology.ru/site.webmanifest	(from https://netology.ru/navigation)
